index	account	attack	budget	victim_model	selector_model	K	targets	victims	craft_ensemble	num_surrogates	craft_steps	time_limit	run_name	job_file
55	aip-boyuwang	fc	0.005	ResNet20BN	ResNet20BN	10	10	6	5	30	250	0-03:50:00	CIFAR10_ResNet20BN_fc_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_K10_ce5_tgt10	job_055_bp_b0005_vr20_sr20_k10.sh
56	aip-boyuwang	fc	0.005	ResNet20BN	ResNet20BN	30	10	6	5	30	250	0-03:50:00	CIFAR10_ResNet20BN_fc_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_K30_ce5_tgt10	job_056_bp_b0005_vr20_sr20_k30.sh
57	aip-yiweilu	fc	0.005	ResNet20BN	VGG13BN	1	10	6	5	30	250	0-03:50:00	CIFAR10_ResNet20BN_fc_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_selarchVGG13BN_K1_ce5_tgt10	job_057_bp_b0005_vr20_svgg_k1.sh
58	aip-boyuwang	fc	0.005	ResNet20BN	VGG13BN	3	10	6	5	30	250	0-03:50:00	CIFAR10_ResNet20BN_fc_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_selarchVGG13BN_K3_ce5_tgt10	job_058_bp_b0005_vr20_svgg_k3.sh
59	aip-boyuwang	fc	0.005	ResNet20BN	VGG13BN	10	10	6	5	30	250	0-03:50:00	CIFAR10_ResNet20BN_fc_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_selarchVGG13BN_K10_ce5_tgt10	job_059_bp_b0005_vr20_svgg_k10.sh
60	aip-yiweilu	fc	0.005	ResNet20BN	VGG13BN	30	10	6	5	30	250	0-03:50:00	CIFAR10_ResNet20BN_fc_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_selarchVGG13BN_K30_ce5_tgt10	job_060_bp_b0005_vr20_svgg_k30.sh
61	aip-boyuwang	fc	0.005	VGG13BN	ConvNetBN	1	10	6	5	30	250	0-03:50:00	CIFAR10_VGG13BN_fc_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_selarchConvNetBN_K1_ce5_tgt3	job_061_bp_b0005_vvgg_sconv_k1.sh
62	aip-boyuwang	fc	0.005	VGG13BN	ConvNetBN	3	10	6	5	30	250	0-03:50:00	CIFAR10_VGG13BN_fc_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_selarchConvNetBN_K3_ce5_tgt3	job_062_bp_b0005_vvgg_sconv_k3.sh
63	aip-yiweilu	fc	0.005	VGG13BN	ConvNetBN	10	10	6	5	30	250	0-03:50:00	CIFAR10_VGG13BN_fc_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_selarchConvNetBN_K10_ce5_tgt3	job_063_bp_b0005_vvgg_sconv_k10.sh
64	aip-boyuwang	fc	0.005	VGG13BN	ConvNetBN	30	10	6	5	30	250	0-03:50:00	CIFAR10_VGG13BN_fc_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_selarchConvNetBN_K30_ce5_tgt3	job_064_bp_b0005_vvgg_sconv_k30.sh
65	aip-boyuwang	fc	0.005	VGG13BN	ResNet20BN	1	10	6	5	30	250	0-03:50:00	CIFAR10_VGG13BN_fc_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_selarchResNet20BN_K1_ce5_tgt3	job_065_bp_b0005_vvgg_sr20_k1.sh
66	aip-yiweilu	fc	0.005	VGG13BN	ResNet20BN	3	10	6	5	30	250	0-03:50:00	CIFAR10_VGG13BN_fc_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_selarchResNet20BN_K3_ce5_tgt3	job_066_bp_b0005_vvgg_sr20_k3.sh
67	aip-boyuwang	fc	0.005	VGG13BN	ResNet20BN	10	10	6	5	30	250	0-03:50:00	CIFAR10_VGG13BN_fc_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_selarchResNet20BN_K10_ce5_tgt3	job_067_bp_b0005_vvgg_sr20_k10.sh
68	aip-boyuwang	fc	0.005	VGG13BN	ResNet20BN	30	10	6	5	30	250	0-03:50:00	CIFAR10_VGG13BN_fc_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_selarchResNet20BN_K30_ce5_tgt3	job_068_bp_b0005_vvgg_sr20_k30.sh
69	aip-yiweilu	fc	0.005	VGG13BN	VGG13BN	1	10	6	5	30	250	0-03:50:00	CIFAR10_VGG13BN_fc_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_K1_ce5_tgt3	job_069_bp_b0005_vvgg_svgg_k1.sh
70	aip-boyuwang	fc	0.005	VGG13BN	VGG13BN	3	10	6	5	30	250	0-03:50:00	CIFAR10_VGG13BN_fc_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_K3_ce5_tgt3	job_070_bp_b0005_vvgg_svgg_k3.sh
71	aip-boyuwang	fc	0.005	VGG13BN	VGG13BN	10	10	6	5	30	250	0-03:50:00	CIFAR10_VGG13BN_fc_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_K10_ce5_tgt3	job_071_bp_b0005_vvgg_svgg_k10.sh
72	aip-yiweilu	fc	0.005	VGG13BN	VGG13BN	30	10	6	5	30	250	0-03:50:00	CIFAR10_VGG13BN_fc_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_K30_ce5_tgt3	job_072_bp_b0005_vvgg_svgg_k30.sh
73	aip-boyuwang	gradmatch	0.002	ConvNetBN	ConvNetBN	1	10	6	5	30	250	0-03:10:00	CIFAR10_ConvNetBN_gradmatch_ours_dog-bird_b0.002_eps8_seed42_lam1_cosine_K1_ce5_tgt70	job_073_gm_b0002_vconv_sconv_k1.sh
74	aip-boyuwang	gradmatch	0.002	ConvNetBN	ConvNetBN	3	10	6	5	30	250	0-03:10:00	CIFAR10_ConvNetBN_gradmatch_ours_dog-bird_b0.002_eps8_seed42_lam1_cosine_K3_ce5_tgt70	job_074_gm_b0002_vconv_sconv_k3.sh
75	aip-yiweilu	gradmatch	0.002	ConvNetBN	ConvNetBN	10	10	6	5	30	250	0-03:10:00	CIFAR10_ConvNetBN_gradmatch_ours_dog-bird_b0.002_eps8_seed42_lam1_cosine_K10_ce5_tgt70	job_075_gm_b0002_vconv_sconv_k10.sh
76	aip-boyuwang	gradmatch	0.002	ConvNetBN	ConvNetBN	30	10	6	5	30	250	0-03:10:00	CIFAR10_ConvNetBN_gradmatch_ours_dog-bird_b0.002_eps8_seed42_lam1_cosine_K30_ce5_tgt70	job_076_gm_b0002_vconv_sconv_k30.sh
