dataset,class_pair,target_id,surrogate_id,n_candidates,spearman_neg_margin_residual_dot,margin_source,cache_shard
CIFAR10,dog-bird,4427,9,5000,0.9966247371129897,direct,/scratch/mmoslem3/attack_if/results/margin_residual_chain_candidates/CIFAR10/ConvNetBN/dog-bird/target_4427/panel_b_surrogate_009.npz
CIFAR10,dog-bird,4427,10,5000,0.9967129061085164,direct,/scratch/mmoslem3/attack_if/results/margin_residual_chain_candidates/CIFAR10/ConvNetBN/dog-bird/target_4427/panel_b_surrogate_010.npz
CIFAR10,dog-bird,4427,11,5000,0.997067360562624,direct,/scratch/mmoslem3/attack_if/results/margin_residual_chain_candidates/CIFAR10/ConvNetBN/dog-bird/target_4427/panel_b_surrogate_011.npz
CIFAR10,dog-bird,4427,12,5000,0.9965361169172784,direct,/scratch/mmoslem3/attack_if/results/margin_residual_chain_candidates/CIFAR10/ConvNetBN/dog-bird/target_4427/panel_b_surrogate_012.npz
CIFAR10,dog-bird,4427,13,5000,0.99691824406873,direct,/scratch/mmoslem3/attack_if/results/margin_residual_chain_candidates/CIFAR10/ConvNetBN/dog-bird/target_4427/panel_b_surrogate_013.npz
CIFAR10,dog-bird,4427,14,5000,0.9963543274701733,direct,/scratch/mmoslem3/attack_if/results/margin_residual_chain_candidates/CIFAR10/ConvNetBN/dog-bird/target_4427/panel_b_surrogate_014.npz
CIFAR10,dog-bird,4427,15,5000,0.9964111815763611,direct,/scratch/mmoslem3/attack_if/results/margin_residual_chain_candidates/CIFAR10/ConvNetBN/dog-bird/target_4427/panel_b_surrogate_015.npz
CIFAR10,dog-bird,4427,16,5000,0.9962221529847047,direct,/scratch/mmoslem3/attack_if/results/margin_residual_chain_candidates/CIFAR10/ConvNetBN/dog-bird/target_4427/panel_b_surrogate_016.npz
CIFAR10,dog-bird,4427,17,5000,0.9964128982245161,direct,/scratch/mmoslem3/attack_if/results/margin_residual_chain_candidates/CIFAR10/ConvNetBN/dog-bird/target_4427/panel_b_surrogate_017.npz
CIFAR10,dog-bird,4427,18,5000,0.9954805795952234,direct,/scratch/mmoslem3/attack_if/results/margin_residual_chain_candidates/CIFAR10/ConvNetBN/dog-bird/target_4427/panel_b_surrogate_018.npz
CIFAR10,dog-bird,4427,19,5000,0.9968122630404908,direct,/scratch/mmoslem3/attack_if/results/margin_residual_chain_candidates/CIFAR10/ConvNetBN/dog-bird/target_4427/panel_b_surrogate_019.npz
CIFAR10,dog-bird,4427,20,5000,0.9967447208215546,direct,/scratch/mmoslem3/attack_if/results/margin_residual_chain_candidates/CIFAR10/ConvNetBN/dog-bird/target_4427/panel_b_surrogate_020.npz
CIFAR10,dog-bird,4427,21,5000,0.9966503070980125,direct,/scratch/mmoslem3/attack_if/results/margin_residual_chain_candidates/CIFAR10/ConvNetBN/dog-bird/target_4427/panel_b_surrogate_021.npz
CIFAR10,dog-bird,4427,22,5000,0.9969427407737098,direct,/scratch/mmoslem3/attack_if/results/margin_residual_chain_candidates/CIFAR10/ConvNetBN/dog-bird/target_4427/panel_b_surrogate_022.npz
CIFAR10,dog-bird,4427,23,5000,0.9965610319663587,direct,/scratch/mmoslem3/attack_if/results/margin_residual_chain_candidates/CIFAR10/ConvNetBN/dog-bird/target_4427/panel_b_surrogate_023.npz
CIFAR10,dog-bird,4427,24,5000,0.996899069123963,direct,/scratch/mmoslem3/attack_if/results/margin_residual_chain_candidates/CIFAR10/ConvNetBN/dog-bird/target_4427/panel_b_surrogate_024.npz
CIFAR10,dog-bird,4427,25,5000,0.9957835655672415,direct,/scratch/mmoslem3/attack_if/results/margin_residual_chain_candidates/CIFAR10/ConvNetBN/dog-bird/target_4427/panel_b_surrogate_025.npz
CIFAR10,dog-bird,4427,26,5000,0.9967833181753329,direct,/scratch/mmoslem3/attack_if/results/margin_residual_chain_candidates/CIFAR10/ConvNetBN/dog-bird/target_4427/panel_b_surrogate_026.npz
CIFAR10,dog-bird,4427,27,5000,0.996407330152207,direct,/scratch/mmoslem3/attack_if/results/margin_residual_chain_candidates/CIFAR10/ConvNetBN/dog-bird/target_4427/panel_b_surrogate_027.npz
CIFAR10,dog-bird,4427,28,5000,0.9963112804924514,direct,/scratch/mmoslem3/attack_if/results/margin_residual_chain_candidates/CIFAR10/ConvNetBN/dog-bird/target_4427/panel_b_surrogate_028.npz
