model,attack,pair,budget,eps,seed,tags,target_idx,n_victims,sel_a,asr_a,sel_b,asr_b,gain
ConvNetBN,sapa,dog-bird,0.005,8,42,craftcropflip_worst0.05_ce5,3522,5,random,20.0,dpp2,60.0,40.0
ConvNetBN,sapa,dog-bird,0.005,8,42,craftcropflip_worst0.05_ce5,3741,5,random,0.0,dpp2,0.0,0.0
ConvNetBN,sapa,dog-bird,0.005,8,42,craftcropflip_worst0.05_ce5,6857,5,random,60.0,dpp2,100.0,40.0
ConvNetBN,sapa,dog-bird,0.005,8,42,craftcropflip_worst0.05_ce5,8252,5,random,40.0,dpp2,100.0,60.0
ConvNetBN,sapa,dog-bird,0.005,8,42,craftnoaug_worst0.05_ce5,1126,5,random,0.0,dpp2,0.0,0.0
ConvNetBN,sapa,dog-bird,0.005,8,42,craftnoaug_worst0.05_ce5,3522,5,random,0.0,dpp2,80.0,80.0
ConvNetBN,sapa,dog-bird,0.005,8,42,craftnoaug_worst0.05_ce5,3741,5,random,0.0,dpp2,100.0,100.0
ConvNetBN,sapa,dog-bird,0.005,8,42,craftnoaug_worst0.05_ce5,6857,5,random,80.0,dpp2,100.0,20.0
ConvNetBN,sapa,dog-bird,0.005,8,42,craftnoaug_worst0.05_ce5,8252,5,random,20.0,dpp2,100.0,80.0
ConvNetBN,sapa,dog-bird,0.005,8,42,worst0.05_ce5,1126,5,random,0.0,dpp2,0.0,0.0
ConvNetBN,sapa,dog-bird,0.005,8,42,worst0.05_ce5,3522,5,random,20.0,dpp2,80.0,60.0
ConvNetBN,sapa,dog-bird,0.005,8,42,worst0.05_ce5,3741,5,random,0.0,dpp2,60.0,60.0
ConvNetBN,sapa,dog-bird,0.005,8,42,worst0.05_ce5,6857,5,random,40.0,dpp2,100.0,60.0
ConvNetBN,sapa,dog-bird,0.005,8,42,worst0.05_ce5,8252,5,random,60.0,dpp2,100.0,40.0
ConvNetBN,sapa,dog-bird,0.005,8,42,worst0.05_ce5_tgt70,1257,6,random,16.666666666666668,dpp2,83.33333333333333,66.66666666666666
ConvNetBN,sapa,dog-bird,0.005,8,42,worst0.05_ce5_tgt70,1547,6,random,0.0,dpp2,0.0,0.0
ConvNetBN,sapa,dog-bird,0.005,8,42,worst0.05_ce5_tgt70,4427,6,random,0.0,dpp2,0.0,0.0
ConvNetBN,sapa,dog-bird,0.005,8,42,worst0.05_ce5_tgt70,5859,6,random,16.666666666666668,dpp2,16.666666666666668,0.0
ConvNetBN,sapa,dog-bird,0.005,8,42,worst0.05_ce5_tgt70,8055,6,random,0.0,dpp2,33.333333333333336,33.333333333333336
ConvNetBN,sapa,dog-bird,0.005,8,42,worst0.05_ce5_tgt70,821,6,random,0.0,dpp2,50.0,50.0
ConvNetBN,sapa,dog-bird,0.005,8,42,worst0.05_ce5_tgt70,8252,6,random,33.333333333333336,dpp2,66.66666666666667,33.333333333333336
ConvNetBN,sapa,dog-bird,0.005,8,42,worst0.05_ce5_tgt70,843,6,random,0.0,dpp2,50.0,50.0
ConvNetBN,sapa,dog-bird,0.005,8,42,worst0.05_ce5_tgt70,8730,6,random,0.0,dpp2,16.666666666666668,16.666666666666668
ConvNetBN,sapa,dog-bird,0.005,8,42,worst0.05_ce5_tgt70,8954,6,random,0.0,dpp2,66.66666666666667,66.66666666666667
ConvNetBN,sapa,dog-bird,0.01,8,42,worst0.05_ce5_tgt70,1257,6,random,50.0,dpp2,100.0,50.0
ConvNetBN,sapa,dog-bird,0.01,8,42,worst0.05_ce5_tgt70,1547,6,random,0.0,dpp2,0.0,0.0
ConvNetBN,sapa,dog-bird,0.01,8,42,worst0.05_ce5_tgt70,4427,6,random,0.0,dpp2,16.666666666666668,16.666666666666668
ConvNetBN,sapa,dog-bird,0.01,8,42,worst0.05_ce5_tgt70,5859,6,random,33.333333333333336,dpp2,66.66666666666667,33.333333333333336
ConvNetBN,sapa,dog-bird,0.01,8,42,worst0.05_ce5_tgt70,8055,6,random,16.666666666666668,dpp2,83.33333333333333,66.66666666666666
ConvNetBN,sapa,dog-bird,0.01,8,42,worst0.05_ce5_tgt70,821,6,random,33.333333333333336,dpp2,66.66666666666667,33.333333333333336
ConvNetBN,sapa,dog-bird,0.01,8,42,worst0.05_ce5_tgt70,8252,6,random,66.66666666666667,dpp2,83.33333333333333,16.666666666666657
ConvNetBN,sapa,dog-bird,0.01,8,42,worst0.05_ce5_tgt70,843,6,random,33.333333333333336,dpp2,83.33333333333333,49.99999999999999
ConvNetBN,sapa,dog-bird,0.01,8,42,worst0.05_ce5_tgt70,8730,6,random,0.0,dpp2,16.666666666666668,16.666666666666668
