dataset,poison_rho,train_set_size,candidate_count,m,candidate_fraction,hybrid_scale,method_left,method_right,target_pools,budget_valid,mean_overlap_fraction,median_overlap_fraction,q25_overlap_fraction,q75_overlap_fraction,mean_jaccard
CIFAR100,0.02,50000,500,1000,2.0,standardized,exact,graft_plus,0,False,nan,nan,nan,nan,nan
CIFAR100,0.02,50000,500,1000,2.0,standardized,exact,hybrid,0,False,nan,nan,nan,nan,nan
CIFAR100,0.02,50000,500,1000,2.0,standardized,exact,random,0,False,nan,nan,nan,nan,nan
CIFAR100,0.02,50000,500,1000,2.0,standardized,graft,graft,0,False,nan,nan,nan,nan,nan
CIFAR100,0.02,50000,500,1000,2.0,standardized,graft,graft_plus,0,False,nan,nan,nan,nan,nan
CIFAR100,0.02,50000,500,1000,2.0,standardized,graft,random,0,False,nan,nan,nan,nan,nan
CIFAR100,0.02,50000,500,1000,2.0,standardized,graft_plus,graft_plus,0,False,nan,nan,nan,nan,nan
CIFAR100,0.02,50000,500,1000,2.0,standardized,graft_plus,random,0,False,nan,nan,nan,nan,nan
CIFAR100,0.02,50000,500,1000,2.0,standardized,hybrid,graft,0,False,nan,nan,nan,nan,nan
CIFAR100,0.02,50000,500,1000,2.0,standardized,hybrid,graft_plus,0,False,nan,nan,nan,nan,nan
CIFAR100,0.02,50000,500,1000,2.0,standardized,hybrid,hybrid,0,False,nan,nan,nan,nan,nan
CIFAR100,0.02,50000,500,1000,2.0,standardized,hybrid,random,0,False,nan,nan,nan,nan,nan
CIFAR100,0.02,50000,500,1000,2.0,standardized,random,random,0,False,nan,nan,nan,nan,nan
CIFAR100,0.04,50000,500,2000,4.0,standardized,exact,exact,0,False,nan,nan,nan,nan,nan
CIFAR100,0.04,50000,500,2000,4.0,standardized,exact,graft,0,False,nan,nan,nan,nan,nan
CIFAR100,0.04,50000,500,2000,4.0,standardized,exact,graft_plus,0,False,nan,nan,nan,nan,nan
CIFAR100,0.04,50000,500,2000,4.0,standardized,exact,hybrid,0,False,nan,nan,nan,nan,nan
CIFAR100,0.04,50000,500,2000,4.0,standardized,exact,random,0,False,nan,nan,nan,nan,nan
CIFAR100,0.04,50000,500,2000,4.0,standardized,graft,graft,0,False,nan,nan,nan,nan,nan
CIFAR100,0.04,50000,500,2000,4.0,standardized,graft,graft_plus,0,False,nan,nan,nan,nan,nan
CIFAR100,0.04,50000,500,2000,4.0,standardized,graft,random,0,False,nan,nan,nan,nan,nan
CIFAR100,0.04,50000,500,2000,4.0,standardized,graft_plus,graft_plus,0,False,nan,nan,nan,nan,nan
CIFAR100,0.04,50000,500,2000,4.0,standardized,graft_plus,random,0,False,nan,nan,nan,nan,nan
CIFAR100,0.04,50000,500,2000,4.0,standardized,hybrid,graft,0,False,nan,nan,nan,nan,nan
CIFAR100,0.04,50000,500,2000,4.0,standardized,hybrid,graft_plus,0,False,nan,nan,nan,nan,nan
CIFAR100,0.04,50000,500,2000,4.0,standardized,hybrid,hybrid,0,False,nan,nan,nan,nan,nan
CIFAR100,0.04,50000,500,2000,4.0,standardized,hybrid,random,0,False,nan,nan,nan,nan,nan
CIFAR100,0.04,50000,500,2000,4.0,standardized,random,random,0,False,nan,nan,nan,nan,nan
SVHN,0.001,73257,4659,73,0.015668598411676324,standardized,exact,exact,10,True,1.0,1.0,1.0,1.0,1.0
SVHN,0.001,73257,4659,73,0.015668598411676324,standardized,exact,graft,10,True,0.08767123287671232,0.08904109589041095,0.07191780821917808,0.0958904109589041,0.04600928697392082
SVHN,0.001,73257,4659,73,0.015668598411676324,standardized,exact,graft_plus,10,True,0.8136986301369863,0.8082191780821918,0.7945205479452054,0.8287671232876712,0.6872507245506869
SVHN,0.001,73257,4659,73,0.015668598411676324,standardized,exact,hybrid,10,True,0.6356164383561643,0.6438356164383562,0.6061643835616438,0.6678082191780822,0.46666233451738026
SVHN,0.001,73257,4659,73,0.015668598411676324,standardized,exact,random,10,True,0.015668598411676327,0.015668598411676324,0.015668598411676324,0.015668598411676324,0.007896160086533262
SVHN,0.001,73257,4659,73,0.015668598411676324,standardized,graft,graft,10,True,1.0,1.0,1.0,1.0,1.0
SVHN,0.001,73257,4659,73,0.015668598411676324,standardized,graft,graft_plus,10,True,0.18082191780821918,0.1780821917808219,0.1643835616438356,0.19863013698630136,0.09980665534882471
SVHN,0.001,73257,4659,73,0.015668598411676324,standardized,graft,random,10,True,0.015668598411676327,0.015668598411676324,0.015668598411676324,0.015668598411676324,0.007896160086533262
SVHN,0.001,73257,4659,73,0.015668598411676324,standardized,graft_plus,graft_plus,10,True,1.0,1.0,1.0,1.0,1.0
SVHN,0.001,73257,4659,73,0.015668598411676324,standardized,graft_plus,random,10,True,0.015668598411676327,0.015668598411676324,0.015668598411676324,0.015668598411676324,0.007896160086533262
SVHN,0.001,73257,4659,73,0.015668598411676324,standardized,hybrid,graft,10,True,0.2287671232876712,0.22602739726027396,0.2089041095890411,0.2568493150684931,0.12984114392909524
SVHN,0.001,73257,4659,73,0.015668598411676324,standardized,hybrid,graft_plus,10,True,0.8013698630136986,0.7945205479452054,0.7671232876712328,0.8356164383561644,0.6706948810581308
SVHN,0.001,73257,4659,73,0.015668598411676324,standardized,hybrid,hybrid,10,True,1.0,1.0,1.0,1.0,1.0
SVHN,0.001,73257,4659,73,0.015668598411676324,standardized,hybrid,random,10,True,0.015668598411676327,0.015668598411676324,0.015668598411676324,0.015668598411676324,0.007896160086533262
SVHN,0.001,73257,4659,73,0.015668598411676324,standardized,random,random,10,True,1.0,1.0,1.0,1.0,1.0
SVHN,0.002,73257,4659,147,0.031551835157759174,standardized,exact,exact,10,True,1.0,1.0,1.0,1.0,1.0
SVHN,0.002,73257,4659,147,0.031551835157759174,standardized,exact,graft,10,True,0.10612244897959185,0.10204081632653061,0.09693877551020408,0.12074829931972789,0.0562030705860989
SVHN,0.002,73257,4659,147,0.031551835157759174,standardized,exact,graft_plus,10,True,0.7319727891156462,0.7414965986394558,0.7108843537414966,0.7414965986394558,0.5778579730967125
SVHN,0.002,73257,4659,147,0.031551835157759174,standardized,exact,hybrid,10,True,0.5721088435374149,0.5680272108843537,0.5595238095238095,0.5782312925170068,0.401028333186638
SVHN,0.002,73257,4659,147,0.031551835157759174,standardized,exact,random,10,True,0.031551835157759174,0.031551835157759174,0.031551835157759174,0.031551835157759174,0.016028786391887477
SVHN,0.002,73257,4659,147,0.031551835157759174,standardized,graft,graft,10,True,1.0,1.0,1.0,1.0,1.0
SVHN,0.002,73257,4659,147,0.031551835157759174,standardized,graft,graft_plus,10,True,0.29115646258503397,0.2891156462585034,0.2534013605442177,0.3401360544217687,0.17140784008672103
SVHN,0.002,73257,4659,147,0.031551835157759174,standardized,graft,random,10,True,0.031551835157759174,0.031551835157759174,0.031551835157759174,0.031551835157759174,0.016028786391887477
SVHN,0.002,73257,4659,147,0.031551835157759174,standardized,graft_plus,graft_plus,10,True,1.0,1.0,1.0,1.0,1.0
